PMID,Author Order,Identifier,Graduation Year,# of citations,Field-weighted citation impact
31673596,Other,F1,current,0,0
26448914,First,F1,current,16,1.22
26661239,Other,F1,current,29,2.91
26693176,First,F1,current,12,1.01
27324877,Other,F1,current,9,0.97
27488909,Other,F1,current,13,1.81
27492950,Other,F1,current,12,1.66
27589532,Other,F1,current,7,0.82
27903330,Other,F1,current,8,0.93
28239641,Other,F1,current,13,2.03
28298048,Other,F1,current,11,4.53
28402542,Other,F1,current,1,0.15
28575478,Other,F1,current,8,2.32
28600739,Other,F1,current,10,13.29
28693655,Other,F1,current,3,0.51
28819654,First,F1,current,,
28826187,First,F1,current,0,0
29322089,Other,F1,current,29,5.5
29523644,Other,F1,current,14,4.21
30367828,Other,F1,current,1,1.53
31011621,Other,F1,current,4,5.11
31222269,Other,F1,current,0,0
28687607,Other,M1,current,10,1.43
29754754,Other,M1,current,15,3.71
31147445,First,M1,current,0,0
31387992,Other,M1,current,1,1.04
31004665,Other,M1,current,2,1.15
29444959,Other,M1,current,3,0.71
29249543,Other,F2,current,1,0.47
30617345,First,F2,current,0,0
29748391,Other,M2,current,7,1.41
31523868,Other,M2,current,0,0
31810498,Other,M2,current,0,0
29459183,Other,M3,current,2,0.49
31060870,Other,F3,current,0,0
25473601,First,M4,current,2,0.1
26586723,Other,M4,current,3,0.24
26605428,First,M4,current,10,0.84
26631723,Other,M4,current,28,2.46
26832928,First,M4,current,28,2.25
27073113,First,M4,current,0,0
27413419,First,M4,current,80,3.14
28139434,First,M4,current,0,0
28460094,First,M4,current,1,0.5
28717408,First,M4,current,8,0.96
28894467,First,M4,current,2,0.32
28975705,First,M4,current,2,0.73
29330283,First,M4,current,6,1.5
29543935,First,M4,current,0,0
30804208,First,M4,current,0,0
No PMID,First,M4,current,,
31604847,First,M4,current,,
27830652,Other,M5,current,8,0.49
31086175,Other,M5,current,5,5.22
27512069,Other,M6,current,14,1.73
29848590,Other,M6,current,1,0.36
30894470,First,M6,current,1,1.58
31260705,First,M6,current,0,0
29590202,Other,F4,current,5,1.45
30481182,Other,F4,current,2,0.84
30530595,First,F4,current,1,1.04
28473378,Other,F5,current,0,0
30481182,First,F5,current,2,0.84
30720520,First,F5,current,0,0
29633223,Other,M7,current,6,1.56
30900175,Other,M8,current,1,3.61
30900177,First,M8,current,0,0
27259980,Other,M9,current,27,2.21
31313677,Other,M9,current,0,0
29235456,Other,M10,current,25,2.92
28793349,Other,M11,current,4,0.58
29615501,Other,M11,current,12,3.6
31213563,First,M11,current,2,1.45
29618953,Other,M12,current,11,2.12
25242497,Other,M13,current,27,1.56
26125186,Other,M13,current,1,0
27482815,Other,M13,current,7,0.79
28171663,Other,M13,current,24,2.17
28377418,Other,M13,current,4,0.51
28649645,Other,M13,current,14,2.6
24232694,Other,M14,current,17,0.7
26747759,Other,M14,current,14,1.38
26771356,Other,M14,current,17,1.48
29307579,First,M14,current,12,3.01
30205878,First,M14,current,3,0.48
25742603,Other,F6,current,28,1.81
29051531,First,M15,current,130,11.39
30579367,First,M15,current,16,4.5
31011623,Other,M15,current,0,0
26962873,First,M16,current,13,1.39
28570838,First,M16,current,8,1.98
29459032,First,M16,current,2,0.87
30305632,First,M16,current,5,1.12
30500183,Other,M16,current,2,1.69
31740492,First,M16,current,,
30745562,Other,F7,current,1,1.19
30837826,First,F7,current,0,0
30982323,First,F7,current,1,1.19
31103832,Other,F7,current,0,0
31833550,First,M15,current,,
31833550,Other,M8,current,,
31060870,First,F8,2019,0,0
29366434,First,F8,2019,2,0.62
29112710,First,F8,2019,7,2.23
28964347,First,F8,2019,2,0.19
28961980,First,F8,2019,10,1.84
28655511,First,F8,2019,0,0
28420365,First,F8,2019,9,2.14
28405312,First,F8,2019,8,1.59
28343455,First,F8,2019,10,0.77
28302435,First,F8,2019,6,1.16
28255093,First,F8,2019,15,3.93
26435704,First,F8,2019,1,0.12
26210512,First,F8,2019,6,0.84
24709731,First,F8,2019,0,0
27677811,Last,F8,2019,30,3.07
30265691,Other,F8,2019,0,0
29540160,Other,F8,2019,7,2
29102426,Other,F8,2019,1,0.4
28883912,Other,F8,2019,3,0.6
28732742,Other,F8,2019,2,0.8
28397624,Other,F8,2019,11,1.65
27836508,Other,F8,2019,5,1.18
26861117,Other,F8,2019,4,0.41
31087611,First,M17,2019,2,2.58
27149216,First,M17,2019,3,0.6
29576539,Other,M17,2019,9,2
27570947,Other,M17,2019,4,0.36
29153591,First,F9,2019,3,1.64
27513995,First,F9,2019,2,0.32
25752478,First,F9,2019,10,0.34
25211799,First,F9,2019,7,1.24
No PMID,Other,F9,2019,,
25996986,Other,F9,2019,15,1.62
28919341,First,F10,2019,3,0.28
28389558,First,F10,2019,12,0.73
27889451,First,F10,2019,103,8.83
26120868,First,F10,2019,27,1.93
30397344,Other,F10,2019,19,4.94
30039798,Other,F10,2019,9,2.44
27841353,Other,F10,2019,12,1.04
27497435,Other,F10,2019,12,0.88
26631723,Other,F10,2019,28,2.46
25562692,Other,F10,2019,89,2.87
27743905,First,M18,2019,19,1.69
27213771,Other,M18,2019,8,0.76
27203227,Other,M18,2019,9,0.73
26317917,Other,M18,2019,1,0.09
30856041,Other,M19,2019,0,0
27491799,Other,M19,2019,20,1.22
27375529,Other,M19,2019,0,0
30917818,First,M20,2019,0,0
28927698,First,M20,2019,31,1.94
27669165,First,M20,2019,50,5.44
27499294,First,M20,2019,34,2.94
25498144,First,M20,2019,1,1.22
30157433,Other,M20,2019,12,2.59
29248374,Other,M20,2019,13,4.78
29198567,Other,M20,2019,13,4.12
27788354,Other,M20,2019,0,0
27499296,Other,M20,2019,85,7.1
25339443,Other,M20,2019,51,1.62
25216398,Other,M20,2019,9,0.39
23882030,Other,M20,2019,41,2.66
30635708,Other,F11,2019,1,1.85
